                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.90105,                0.44302,                0.85471,                 0.5156,                0.58693,                0.55229,                0.36403,                0.86816,                0.39398,                0.99263,               0.001486,               0.001486,               0.001486
                     89,                0.90701,                0.44603,                0.85767,                0.51203,                0.58939,                0.55024,                0.36468,                0.86824,                0.39461,                0.99268,               0.001387,               0.001387,               0.001387
                     90,                0.89739,                0.44015,                 0.8545,                0.50613,                0.57927,                0.54721,                 0.3635,                0.86841,                0.39559,                 0.9929,               0.001288,               0.001288,               0.001288
                     91,                0.88269,                0.42534,                0.85523,                 0.4988,                0.57534,                0.54253,                0.36243,                0.86809,                 0.3973,                0.99278,               0.001189,               0.001189,               0.001189
                     92,                0.87534,                0.42028,                 0.8548,                0.50517,                0.55763,                0.54014,                0.36152,                0.86819,                0.40024,                0.99251,                0.00109,                0.00109,                0.00109
                     93,                0.86699,                0.41536,                0.85268,                0.49993,                0.55677,                0.53755,                0.36031,                0.86816,                0.40151,                0.99262,               0.000991,               0.000991,               0.000991
                     94,                0.86933,                 0.4171,                0.85252,                 0.5145,                0.53577,                0.53561,                0.35983,                0.86733,                0.40243,                0.99256,               0.000892,               0.000892,               0.000892
                     95,                0.85968,                0.41072,                0.85173,                0.51937,                0.53512,                 0.5365,                 0.3603,                0.86696,                0.40237,                0.99219,               0.000793,               0.000793,               0.000793
                     96,                0.86287,                0.41283,                0.85097,                 0.5245,                0.53178,                0.53594,                0.36019,                0.86742,                0.40158,                0.99257,               0.000694,               0.000694,               0.000694
                     97,                0.85965,                 0.4095,                0.85081,                0.53096,                0.52965,                0.53642,                0.36055,                0.86747,                0.40246,                  0.993,               0.000595,               0.000595,               0.000595
                     98,                0.85654,                0.40721,                0.84893,                0.53179,                0.52691,                 0.5357,                0.36034,                0.86757,                0.40368,                0.99312,               0.000496,               0.000496,               0.000496
                     99,                0.85175,                0.40546,                0.84788,                0.52492,                0.52892,                0.53465,                 0.3596,                0.86794,                0.40509,                0.99344,               0.000397,               0.000397,               0.000397
                    100,                0.84754,                0.40241,                0.84871,                0.52768,                0.52724,                0.53483,                0.35971,                0.86837,                 0.4065,                0.99387,               0.000298,               0.000298,               0.000298
